date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-09 19:46:17,+0800,Abangwolf,Elok SPRM pun habis penuh Korupsi.. mana orang nak percaya dah kat SPRM ni kalau macamni..,https://twitter.com/Abangwolf/status/1480143888690020356,0,0,0,[],2022-01-09 19:46:17,2022-01-09,19:46:17
2022-01-09 19:46:00,+0800,ManBigong,@bumilangit Lebeh mustahak Sprm mesti di cuci sampai berseh.,https://twitter.com/ManBigong/status/1480143817764339717,1,0,0,[],2022-01-09 19:46:00,2022-01-09,19:46:00
2022-01-09 19:44:29,+0800,Matjebons,"@realDrMAZA Tu la kau. Dulu puas hati sgt dgn kerajaan yg ada ni. Nak tanya zaman Ph jaga dulu. Ada x kes2 ni berlaku? From speaker parlimen, sprm, mantan menteri kantoi ambik duit rakyat? Tp ye la. Ada non Muslim dlm kerajaan PH. Tu yg sakit hati sgt tu. Dh dididik mcm tu.",https://twitter.com/Matjebons/status/1480143436971851780,1,0,0,[],2022-01-09 19:44:29,2022-01-09,19:44:29
2022-01-09 19:44:04,+0800,TamingS12425422,@SPRMMalaysia Jika rakyat marhain terus kena tangkap dan gari lepas tu siap baju okt sprm,https://twitter.com/TamingS12425422/status/1480143332596588544,0,0,0,[],2022-01-09 19:44:04,2022-01-09,19:44:04
2022-01-09 19:44:03,+0800,501Awani,"Tumpuan #AWANI745 malam ini:  📌 Biarpun didesak, tetapi tiga pemimpin tertinggi SPRM sokong Azam Baki  📌 Rakyat mahu menteri dahulukan masalah rakyat, bukan kepentingan politik  #AWANInews   https://t.co/SxXW1vfyLq",https://twitter.com/501Awani/status/1480143325109710849,12,1,3,"['awani745', 'awaninews']",2022-01-09 19:44:03,2022-01-09,19:44:03
2022-01-09 19:43:44,+0800,Mokhtar84141040,InfoRakyatKini: Isu Azam Baki: Mohd Asri cadang SPRM dirombak more:  https://t.co/gtYgSYLp8q #MalaysiaPrihatin #MalaysiaSejahtera  https://t.co/3rbv0tOBLT,https://twitter.com/Mokhtar84141040/status/1480143245376167938,0,0,0,"['malaysiaprihatin', 'malaysiasejahtera']",2022-01-09 19:43:44,2022-01-09,19:43:44
2022-01-09 19:42:20,+0800,maxzchua,@ajezzzzzzz The worst continue biler SPRM kuar media statement memorandum sokong Azam Baki.. i cant brain it. 🤯,https://twitter.com/maxzchua/status/1480142893532602369,0,0,1,[],2022-01-09 19:42:20,2022-01-09,19:42:20
2022-01-09 19:42:05,+0800,azizayusof,SPRM working on weekend! OMG. I am so impress.,https://twitter.com/azizayusof/status/1480142831662469125,0,0,0,[],2022-01-09 19:42:05,2022-01-09,19:42:05
2022-01-09 19:41:17,+0800,HazeeqNadzhan,@noturbink Hahahaha. Dh kes dok start bicara lagi sokong dh. Xsoh panggil sprm la diri tu. Semua xleh cayer,https://twitter.com/HazeeqNadzhan/status/1480142631023771654,0,0,0,[],2022-01-09 19:41:17,2022-01-09,19:41:17
2022-01-09 19:41:03,+0800,msianinsight,"Pimpinan tertinggi sokong Azam, aktivis persoal integriti SPRM  https://t.co/WQqxM0QphB",https://twitter.com/msianinsight/status/1480142571607232512,0,1,0,[],2022-01-09 19:41:03,2022-01-09,19:41:03
2022-01-09 19:40:22,+0800,PokCikBual,Apa nak jadi SPRM😓,https://twitter.com/PokCikBual/status/1480142401767239682,0,0,0,[],2022-01-09 19:40:22,2022-01-09,19:40:22
2022-01-09 19:40:20,+0800,BasmiJenayah,Isu Azam Baki: Mohd Asri cadang SPRM dirombak more:  https://t.co/fs0tzayXfg #RasuahBusters #PerangiRasuah #BasmiJenayah #MalaysiaSejahtera  https://t.co/1ZLfwaIeqA,https://twitter.com/BasmiJenayah/status/1480142392015601664,0,2,0,"['rasuahbusters', 'perangirasuah', 'basmijenayah', 'malaysiasejahtera']",2022-01-09 19:40:20,2022-01-09,19:40:20
2022-01-09 19:38:46,+0800,Afro_Dreamer,"2) Siasatan yang dijalankan belum lengkap, SPRM sendiri keluar statement kata menyokong orang yang disiasat. Kalau kemudian boss didapati bersalah? Mana nak letak muka? Mana nak letak integriti?   3) Serangan bermotif politik? Parti politik mana yang serang???",https://twitter.com/Afro_Dreamer/status/1480141996958253059,0,0,0,[],2022-01-09 19:38:46,2022-01-09,19:38:46
2022-01-09 19:38:45,+0800,Afro_Dreamer,"Tak tahu siapa yang advice Dato' Junipah ni, tapi kesan daripada statement ni adalah:  1) Rakyat akan rasa seluruh SPRM perangai serupa macam boss No. 1 korang dan kepercayaan mula hilang.",https://twitter.com/Afro_Dreamer/status/1480141995028869122,0,1,1,[],2022-01-09 19:38:45,2022-01-09,19:38:45
2022-01-09 19:37:08,+0800,zack_rockstar,PAS berpuas hati dengan Azam Baki kerana dahulu 'SPRM mengesahkan' tiada kemasukan wang 1MDB seperti yg didedahkan oleh Sarawak Report dan kemudian PAS menarik balik saman ke atas Sarawak Report dengan membayar sejumlah wang kepada editor berkenaan.,https://twitter.com/zack_rockstar/status/1480141587183067137,366,100,10,[],2022-01-09 19:37:08,2022-01-09,19:37:08
2022-01-09 19:37:00,+0800,K0G579,@SPRMMalaysia Patutnya semua anggota SPRM mengambil sikap berkecuali dlm hal ini sehingga segala siasatan pihak berkuasa selesai. Barulah nmpk ada integriti. Kalau mcm sekarang ni nmpk  serupa mcm kes 1MDB.Dimana semua org berlumba2 nak  tunjukkan sokongan kpd DSN.,https://twitter.com/K0G579/status/1480141553347694592,0,0,0,[],2022-01-09 19:37:00,2022-01-09,19:37:00
2022-01-09 19:36:14,+0800,UlaalaaL,@SPRMMalaysia melawat kolam takungan tu kerja sprm ke? 🤣🤣😂,https://twitter.com/UlaalaaL/status/1480141360187404288,0,0,0,[],2022-01-09 19:36:14,2022-01-09,19:36:14
2022-01-09 19:33:37,+0800,nasuhamokhtar,@SPRMMalaysia Punya bangang sprm ni. Dah takleh brain dah aku. Semoga Tuhan jela membalas.,https://twitter.com/nasuhamokhtar/status/1480140701643853825,0,0,0,[],2022-01-09 19:33:37,2022-01-09,19:33:37
2022-01-09 19:32:15,+0800,ahmadsyau,"Dulu aku suka @UstAhmadDusuki sebab dengar ceramah bilal bin rabah. Tapi bila isu Azam Bakri SPRM, Dengan dakwaan dia Adik yang guna acc, integriti nampak kelaut, ustaz ni still membekap lagi. Done Unfollow. Baik dakwah sahaja takyah sibuk politik.  https://t.co/lgBy78WY8h",https://twitter.com/ahmadsyau/status/1480140357828366337,1,0,2,[],2022-01-09 19:32:15,2022-01-09,19:32:15
2022-01-09 19:32:14,+0800,eupherism,"Adakah @SPRMMalaysia ini parti politik? Hahaha bodoh, ada ke buat memorandum. Bangang, mesti dapat jawatan melalui kabel politik. Puuiiiii, jumpa staff staff sprm kat mana mana, ludah je muka depa.",https://twitter.com/eupherism/status/1480140355051741186,0,0,0,[],2022-01-09 19:32:14,2022-01-09,19:32:14
2022-01-09 19:30:56,+0800,mhdnurhakim,Demikianlah SPRM,https://twitter.com/mhdnurhakim/status/1480140026772004865,0,0,0,[],2022-01-09 19:30:56,2022-01-09,19:30:56
2022-01-09 19:28:25,+0800,PretamSharan,@khalidkarim @IsmailSabri60 ULASAN | Mufti Perlis: Rombak seluruh kepimpinan SPRM  https://t.co/PYhZZqoSmD,https://twitter.com/PretamSharan/status/1480139393448890371,0,0,0,[],2022-01-09 19:28:25,2022-01-09,19:28:25
2022-01-09 19:28:17,+0800,KCMorga30162319,"@AKUANAKWATAN Ikut pekeliling, ada limit tp PN dan BN ada dalil sendiri. Bila2 boleh ubah.  Sprm, police, AG chamber, sepatut   kenlarang sebarang aktiviti Business, pelaburan atau apa saje membawa sebarang keuntungan material ketika pegang jawatan paling ke kanan. Implikasi sgt tinggi.",https://twitter.com/KCMorga30162319/status/1480139358074068992,0,0,0,[],2022-01-09 19:28:17,2022-01-09,19:28:17
2022-01-09 19:27:59,+0800,mjazryjaafar,"The simple explanation for these.  ""We're proud that we're in the fullest heart supporting Azam Baki and his acts of breach people trusts in SPRM! May the Lord stand with us.""",https://twitter.com/mjazryjaafar/status/1480139282832527360,3,2,0,[],2022-01-09 19:27:59,2022-01-09,19:27:59
